filename,CA1,CA1.1,CA1.2,CA1.3,CA1.4,CA1.5,CA1.6,CA1.7,CA2,ORG1,ORG2,ORG2.2,ORG2.3,ORG2.4,ORG2.5,ORG3,VOC1,VOC2,VOC3,GR1,GR2,GR3,UNIQ_WORDS,OR_ERR,CLQ_WORDS,CLC_ERRORS,prop_a1,prop_a2,prop_b1,prop_b2,prop_c1,prop_c2
781.txt,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0.5,0,0,0,0,0.6825396825396826,0.16666666666666666,0.0,0.27058823529411763,0.2727272727272727,0.21212121212121213,0.18181818181818182,0.25757575757575757,0.07575757575757576,0.0
599.txt,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.72,0.0,0.0,0.23728813559322035,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
891.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0.7538461538461538,0.25,0.0,0.32978723404255317,0.25,0.2159090909090909,0.18181818181818182,0.2840909090909091,0.056818181818181816,0.011363636363636364
933.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0.5,0,0,0,0,0.7419354838709677,0.09090909090909091,0.0,0.2987551867219917,0.25925925925925924,0.24074074074074073,0.12962962962962962,0.2777777777777778,0.09259259259259259,0.0
808.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.8095238095238095,0.0,0.0,0.33640552995391704,0.39436619718309857,0.18309859154929578,0.15492957746478872,0.19718309859154928,0.07042253521126761,0.0
506.txt,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.90625,0.0,0.0,0.2608695652173913,0.4090909090909091,0.2727272727272727,0.0,0.22727272727272727,0.09090909090909091,0.0
829.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0.5,0,0,0,0,0.7888888888888889,0.09090909090909091,0.0,0.2927927927927928,0.23880597014925373,0.14925373134328357,0.19402985074626866,0.3582089552238806,0.05970149253731343,0.0
6.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.74,0.0,0.0,0.3135593220338983,0.25,0.21666666666666667,0.15,0.3333333333333333,0.05,0.0
386.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.7346938775510204,0.0,0.0,0.3053097345132743,0.2542372881355932,0.1864406779661017,0.2033898305084746,0.288135593220339,0.06779661016949153,0.0
809.txt,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.7647058823529411,0.0,0.0,0.13953488372093023,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0
166.txt,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.76,0.2857142857142857,0.0,0.24615384615384617,0.3103448275862069,0.27586206896551724,0.20689655172413793,0.1724137931034483,0.034482758620689655,0.0
673.txt,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.8181818181818182,0.3333333333333333,0.0,0.16981132075471697,0.5,0.2777777777777778,0.16666666666666666,0.0,0.0,0.05555555555555555
64.txt,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0.5,0,0,0,0,0.7727272727272727,0.25,0.0,0.19672131147540983,0.26666666666666666,0.2,0.26666666666666666,0.26666666666666666,0.0,0.0
390.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0.5,0,0,0,0,0.7291666666666666,0.16666666666666666,0.0,0.2457627118644068,0.30612244897959184,0.1836734693877551,0.1836734693877551,0.2653061224489796,0.061224489795918366,0.0
101.txt,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.875,0.0,0.0,0.265625,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.0
91.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0.5,0,0,0,0,0.7264150943396226,0.18181818181818182,0.0,0.2645739910313901,0.24193548387096775,0.1774193548387097,0.1935483870967742,0.3387096774193548,0.04838709677419355,0.0
266.txt,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.76,0.5,0.0,0.17582417582417584,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0
585.txt,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.7209302325581395,0.2,0.0,0.2553191489361702,0.3181818181818182,0.18181818181818182,0.22727272727272727,0.2727272727272727,0.0,0.0
105.txt,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8,0.8,0.0,0.24096385542168675,0.2608695652173913,0.30434782608695654,0.13043478260869565,0.2608695652173913,0.043478260869565216,0.0
741.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.71875,0.0,0.0,0.2677165354330709,0.22077922077922077,0.19480519480519481,0.19480519480519481,0.2987012987012987,0.09090909090909091,0.0
210.txt,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.8108108108108109,0.25,0.0,0.20454545454545456,0.34375,0.28125,0.15625,0.21875,0.0,0.0
736.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0.5,0,0,0,0,0.7981651376146789,0.09090909090909091,0.0,0.3181818181818182,0.2777777777777778,0.20833333333333334,0.2361111111111111,0.2361111111111111,0.041666666666666664,0.0
149.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.7831325301204819,0.0,0.0,0.26153846153846155,0.36538461538461536,0.28846153846153844,0.11538461538461539,0.21153846153846154,0.019230769230769232,0.0
574.txt,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.8260869565217391,0.3333333333333333,0.0,0.203125,0.29411764705882354,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.0,0.0
497.txt,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8378378378378378,0.0,0.0,0.24719101123595505,0.32,0.24,0.16,0.28,0.0,0.0
78.txt,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0.7142857142857143,0.0,0.0,0.2727272727272727,0.3333333333333333,0.21212121212121213,0.18181818181818182,0.24242424242424243,0.030303030303030304,0.0
381.txt,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.725,0.2,0.0,0.17045454545454544,0.3333333333333333,0.19047619047619047,0.14285714285714285,0.2857142857142857,0.047619047619047616,0.0
499.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0.5,0,0,0,0,0.7325581395348837,0.1111111111111111,0.0,0.2696078431372549,0.26,0.22,0.18,0.26,0.08,0.0
384.txt,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.8484848484848485,0.2,0.0,0.24050632911392406,0.3333333333333333,0.25,0.125,0.25,0.041666666666666664,0.0
668.txt,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0.5,0,0,0,0,0.9090909090909091,0.25,0.0,0.18421052631578946,0.4,0.3,0.2,0.1,0.0,0.0
637.txt,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.92,0.0,0.0,0.2909090909090909,0.3125,0.1875,0.125,0.3125,0.0625,0.0
356.txt,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.75,0.14285714285714285,0.0,0.19491525423728814,0.32142857142857145,0.17857142857142858,0.21428571428571427,0.21428571428571427,0.07142857142857142,0.0
147.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.7640449438202247,0.0,0.0,0.3316582914572864,0.30612244897959184,0.2653061224489796,0.12244897959183673,0.22448979591836735,0.08163265306122448,0.0
777.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.696078431372549,0.0,0.0,0.3141592920353982,0.288135593220339,0.1694915254237288,0.23728813559322035,0.23728813559322035,0.06779661016949153,0.0
695.txt,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6857142857142857,0.6,0.0,0.2345679012345679,0.29411764705882354,0.23529411764705882,0.11764705882352941,0.29411764705882354,0.058823529411764705,0.0
719.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.7475728155339806,0.0,0.0,0.30042918454935624,0.30303030303030304,0.18181818181818182,0.19696969696969696,0.2727272727272727,0.030303030303030304,0.015151515151515152
618.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0.5,0,0,0,0,0.7525773195876289,0.2222222222222222,0.0,0.22466960352422907,0.3148148148148148,0.2037037037037037,0.16666666666666666,0.2777777777777778,0.037037037037037035,0.0
